Species,Notes,Checked,Food ,Medicine,Tools,Season,Other
Acacia dealbata subsp. dealbata,"Season, Food, Medicine",Y,1,1,,1,
Acacia leprosa var. graveolens,"Food, Tools, Medicine",Y,1,1,1,,
Acacia melanoxylon,"Food, Tools, Medicine",Y,1,1,1,,
Acacia mucronata,Food,Y,1,,,,
Acacia siculiformis,No Information,Y,,,,,
Acacia verticillata,,Y,1,1,1,1,
Acaena novae-zelandiae,Food,Y,1,,,,
Acrothamnus hookeri,Food,Y,1,,,,
Acrothamnus montanus,,Y,1,,,,
Acrotriche serrulata,Food,Y,1,,,,
Adiantum aethiopicum,No Use,Y,,,,,
Ajuga australis,"FOOD Flowers are eaten fresh or mixed with flour to make damper.
MEDICINE The leaf is used for mild skin injuries such as cuts, stings and scratches. It is also made into a decoction to bathe sores and boils.",Y,1,1,,,
Almaleea subumbellata  ,No Use,Y,,,,,
Amperea xiphoclada  ,No Use,Y,,,,,
Aotus ericoides  ,No Use,Y,,,,,
Asperula gunnii ,"medicine anti-inflammtory and applied to wounds, also digestive aid",Y,,1,,,
Atherosperma moschatum,"Food, Tools",Y,1,1,1,,
Australopyrum pectinatum ,"medicine, used to treat fever, coughs and colds",Y,,1,,,
Baeckea gunniana,"Food, Medicine",Y,1,1,,,
Balaskion australe,No Information,Y,,,,,
Banksia marginata,"Food, Tools, Medicine",Y,1,1,1,,
Bauera rubioides  ,No Use,Y,,,,,
Bedfordia salicina,Medicine,Y,,,,,
Bellendena montana,,Y,,,,,1
Beyeria viscosa,MEDICINE The leaf is helpful in reducing a fever.,Y,,1,,,
Billardiera longiflora,"Food, Tools, Medicine",Y,1,1,1,,
Blechnum nudum ,No Use,Y,,,,,
Blechnum penna-marina subsp. alpina  ,No Use,Y,,,,,
Blechnum wattsii ,food rhizomes eaten raw or roasted,Y,1,,,,
Bursaria spinosa ,"FOOD The flowers can be eaten, while the nectar can be soaked in water for a sweet drink. TOOLS The wood is used to make a club. Other TOY Fresh seed pods make a rattle noise.",Y,1,,1,,1
Caladenia alpina,Food,Y,1,,,,
Caladenia carnea,Food,Y,1,,,,
Caladenia cracens ,"FOOD The tubers are roasted or eaten raw, while the flowers too can be eaten raw or added to flour or mixed with various nuts, seed and tubers.",Y,1,,,,
Caladenia sp.,,Y,1,,,,
Calorophus elongatus  ,No Use,Y,,,,,
Carex sp.,Tools,Y,,,1,,
Carpha alpina,No Information,Y,,,,,
Carpha sp ,No Information,Y,,,,,
Cassinia aculeata ,used in smoking ceremonies,Y,,,,,1
Cassytha pubescens  ,"Or, as I call it them snotty-gobble-bliss-bombs because this explains their texture and flavour! 
FOOD The single-stoned mucilaginous fruit can be eaten straight from the vine. It has a pine flavour. 
On 10 February 1830 Robinson records: ‘in the course of the day my Aboriginal guide gave me a wild fruit resembling a greengage’ (p. 148).
MEDICINE The stem is soaked in water and drunk to bring a fever down, and helps relieve head and body aches. The unripe fruit can be eaten for stomach pains and crushed and applied to sores, cuts, wounds and lesions to stop bleeding.
TOOLS The whole vine is used for a quick fishing net, thrown and anchored across creeks to catch fish and eels.
",Y,1,1,1,,
Chiloglottis reflexa  ,FOOD The long tubers can be eaten raw or roasted. ,Y,1,,,,
Chiloglottis sp.,Food,Y,1,,,,
Chiloglottis triceratops,Food,Y,1,,,,
Chordifex monocephalus  ,No Use,Y,,,,,
Clematis aristata,"Food, Medicine",Y,1,1,,,
Clematis clitorioides ,"Clematis aristata
MOUNTAIN CLEMATIS 
FOOD The taproot is edible when roasted.
MEDICINE The leaves can be crushed to release the plant’s aroma, then inhaled to treat headaches.

Clematis gentianoides E
GROUND CLEMATIS
TOOLS The fluffy seed heads are used in fire making.

Clematis microphylla
SMALL LEAVF CLEMATIS
FOOD The root may be cooked and kneaded into a dough. It has a peppery taste. 
MEDICINE The leaves may be crushed and inhaled to aid a headache. Also crushed leaves can be applied to stop itching; however, longer than three minutes will have the opposite effect!
CAUTION Prolonged rubbing of leaves can blister the hands.
TOOLS The fibre from the root can be made into string and used as a headband. 
",Y,1,1,1,,
Clematis sp.,"Food, Tools, Medicine",Y,1,1,1,,
Comesperma volubile,,Y,1,,,,
Coprosma hirtella,Food,Y,1,,,,
Coprosma nitida,Food,Y,1,,,,
Coprosma quadrifida,Food,Y,1,,,,
Corybas sp.,Food,Y,1,,,,
Cotula alpina ,"medicine, anti-inflammatory and pain relief",Y,,1,,,
Daviesia latifolia,"medicine, leaves as invigorating tonic to treat fever and expel intestinal worms",Y,,1,,,
Daviesia ulicifolia,No Information,Y,,,,,
Deyeuxia quadriseta ,food seeds are ground for flour,Y,1,,,,
Dianella tasmanica,"Food, Medicine, Tools, Other",Y,1,1,1,,1
Dichondra repens,No Use,Y,,,,,
Dicksonia antarctica,"Food, Tools, Medicine",Y,1,1,1,,
Diplarrena latifolia,"Season, Foods, Tools",Y,1,,1,1,
Diplarrena moraea,"Season, Foods, Tools",Y,1,,1,1,
Drosera peltata,medicine treatment of colds and dry coughs,Y,,1,,,
Drymophila cyanocarpa,OTHER Traditionally this plant was used for euthanasia - do not advertise this knowledge - I tell people NOT to eat any blue/purple berries as they are easily confused with billarderia and dianella - the leaves are different but the berries look extremely similar!!!,Y,,,,,1
Elatine gratioloides ,No Use,Y,,,,,
Empodisma minus ,No Use,Y,,,,,
Epacris gunnii,Food,Y,1,,,,
Epacris impressa,Food,Y,1,,,,
Epacris lanuginosa,Food,Y,1,,,,
Epacris sp.,Food,Y,1,,,,
Epilobium billardierianum,"medicine helpful in treating wounds, burns, and skin irritations. The plant is also used to make a tea that is used to treat diarrhea and dysentery. High in antioxidants also edible young shoots and leaves",Y,,1,,,
Epilobium tasmanicum ,"medicine helpful in treating wounds, burns, and skin irritations. The plant is also used to make a tea that is used to treat diarrhea and dysentery. High in antioxidants also edible young shoots and leaves, also used to treat urinary tract problems",Y,,1,,,
Epodisma minus,No Information,Y,,,,,
Eriochilus cucullatus ,FOOD The root/tubers can be eaten.,Y,1,,,,
Eucalyptus amygdalina,"Medicine, Tools, Other",Y,,1,1,,1
Eucalyptus coccifera,No Information,Y,,,,,
Eucalyptus dalrympleana subsp. dalrympleana,No Information,Y,,,,,
Eucalyptus dalrympleana subsp. lutruwita,No Information,Y,,,,,
Eucalyptus delegatensis,No Information,Y,,,,,
Eucalyptus delegatensis subsp. tasmaniensis,No Information,Y,,,,,
Eucalyptus nitens,Other,Y,,,,,1
Eucalyptus obliqua,"Tools, Other",Y,,,1,,1
Eucalyptus pauciflora subsp. pauciflora,Other,Y,,,,,1
Eucalyptus rodwayi,Other,Y,,,,,1
Eucalyptus tasmaniensis,Other,Y,,,,,1
Eucalyptus viminalis,"FOOD The gum may be eaten, as can the crystallised honeydew produced by lerp insects.
MEDICINE The leaf can be crushed and inhaled to clear a blocked nose and used as a decoction to apply to sores. The green leaves are burned and used for smoking ceremonies, to smoke out a fever and to repel insects. 
TOOLS The wood may be used to make implements such as flat shields and containers. The young saplings are used for waddies.",Y,1,1,1,,
Eucalyptus viminalis subsp. viminalis,"Food, Medicine, Tools, Other",Y,1,1,1,,1
Euchiton japonicus ,"medicine to treat and prevent migrains and headaches,",Y,,1,,,
Euphrasia gibbsiae,,Y,,1,,,
Exocarpos cupressiformis,"Lutruwita has five native species of Exocarpus, a member of the sandalwood family. ‘Exo’ means outer, and ‘carpos’ fruit: the seeds are on the outside of the fruit, like cashews and strawberries. These are exceptional trees for several reasons. They are hemi-parasitic, meaning they use the roots of other trees for a water source. This makes them extremely hard to propagate. 
Always look after the trees around the native cherry trees, as they are important for their survival. 
FOOD The red fruits are high in vitamin C; they are delicious. To eat, hold the in-built handle, the outer seed, and bite off the fruit. The brighter, darker red fruits are the sweetest.
MEDICINE The young leaf tips and sap have coagulant properties. They are crushed into a pulp and applied to wounds that are bleeding. The young leaf tips are part of traditional snakebite remedies. 
TOOLS The wood can be used for clapsticks and digging sticks. The leaves and wood make a lovely green or red dye.
OTHER CEREMONY Leaves are used for smoking ceremonies.",Y,1,1,1,,1
Exocarpos humifusus,"Food, Medicine",Y,1,1,,,
Gahnia grandis,"Food, Tools",Y,1,,1,,
Galium australe  ,"used to treat skin ailments, wounds and digestive issues. Diuretic and lymphatic drainage. Also edible leaves and stems in soups and stews",Y,,1,,,
Gaultheria hispida,Food,Y,1,,,,
Geranium brevicaule,"Food, Medicine",Y,1,1,,,
Geranium potentilloides,"Food, Medicine",Y,1,1,1,,
Geranium sp.,"Food, Medicine",Y,1,1,,,
Gleichenia microphylla ,No Use,Y,,,,,
Gonocarpus humilis,No Use,Y,,,,,
Gonocarpus micranthus subsp. micranthus ,No Use,Y,,,,,
Gonocarpus montanus ,No Use,Y,,,,,
Gonocarpus sp.,No Use,Y,,,,,
Gonocarpus tetragynus,No Use,Y,,,,,
Gonocarpus teucrioides ,No Use,Y,,,,,
Goodia lotifolia,No Information,Y,,,,,
Grevillea australis,FOOD The flowers are full of nectar that can be sucked straight from the flowers or you can steep them in water,Y,1,,,,
Gunnera cordifolia ,No Use,Y,,,,,
Gymnoschoenus sphaerocephalus,Other,Y,,,,,1
Hakea epiglottis,Tools,Y,,,1,,
Hakea lissosperma,Tools,Y,,,1,,
Hakea microcarpa,Tools,Y,,,1,,
Helichrysum luteoalbum,"MEDICINE The leaf can be made into a concoction to drink for coughs and pain relief.
OTHER The flower is an effective down for clothing and ceremonial decoration. 
",Y,,1,,,1
Hibbertia procumbens  ,No Use,Y,,,,,
Histiopteris incisa ,No Use,Y,,,,,
Hydrocotyle hirta,"medicine, wound healing properties",Y,,1,,,
Hydrocotyle muscosa,"medicine, wound healing properties",Y,,1,,,
Hydrocotyle sibthorpioides,"medicine, wound healing properties",Y,,1,,,
Hymenophyllum peltatum  ,No Use,Y,,,,,
Hypericum japonicum  ," is used externally to treat swellings, abscesses, and fungal skin diseases",Y,,1,,,
Hypolaena fastigiata  ,No Use,Y,,,,,
Hypolepis rugosula ,No Use,Y,,,,,
Isolepis fluitans,No Use,Y,,,,,
Juncus astreptus,"Food, Tools, Medicine",Y,1,1,1,,
Juncus australis,"Food, Tools, Medicine",Y,1,1,1,,
Juncus bassianus,"Food, Tools, Medicine",Y,1,1,1,,
Juncus sp.,"Food, Tools, Medicine",Y,1,1,1,,
Lagenophora stipitata ,No Use,Y,,,,,
Lepidosperma ensiforme ,"tools, weaving",Y,,,1,,1
Lepidosperma filiforme,Tools,Y,,,1,,
